id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
27,SYNTHETIC COMPANY 00026,SYNTHETIC SITE 00026,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,70,99991,1,0,5,4,2,35,16,11,0,0,0,0,0,100026,1,2,2021,1/1/2022,
28,SYNTHETIC COMPANY 00027,SYNTHETIC SITE 00027,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,90,167751,1,0,1,0,5,7,0,6,0,0,0,0,0,100027,1,2,2021,1/1/2022,
29,SYNTHETIC COMPANY 00028,SYNTHETIC SITE 00028,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,49,85278,1,0,0,0,1,0,0,1,0,0,0,0,0,100028,1,2,2021,1/1/2022,
30,SYNTHETIC COMPANY 00029,SYNTHETIC SITE 00029,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,232,492576,1,0,0,0,1,0,0,1,0,0,0,0,0,100029,1,2,2021,1/1/2022,
31,SYNTHETIC COMPANY 00030,SYNTHETIC SITE 00030,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,22,39707,2,0,0,0,0,0,0,0,0,0,0,0,0,100030,1,2,2021,1/1/2022,
32,SYNTHETIC COMPANY 00031,SYNTHETIC SITE 00031,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,19,32958,1,0,0,0,2,0,0,2,0,0,0,0,0,100031,1,2,2021,1/1/2022,
33,SYNTHETIC COMPANY 00032,SYNTHETIC SITE 00032,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,3,5058,2,0,0,0,0,0,0,0,0,0,0,0,0,100032,1,2,2021,1/1/2022,
34,SYNTHETIC COMPANY 00033,SYNTHETIC SITE 00033,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,6,9565,2,0,0,0,0,0,0,0,0,0,0,0,0,100033,1,2,2021,1/1/2022,
35,SYNTHETIC COMPANY 00034,SYNTHETIC SITE 00034,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,18,32565,2,0,0,0,0,0,0,0,0,0,0,0,0,100034,1,2,2021,1/1/2022,
36,SYNTHETIC COMPANY 00035,SYNTHETIC SITE 00035,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,94,211370,1,0,4,3,2,28,12,9,0,0,0,0,0,100035,1,2,2021,1/1/2022,
37,SYNTHETIC COMPANY 00036,SYNTHETIC SITE 00036,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,12,25041,2,0,0,0,0,0,0,0,0,0,0,0,0,100036,1,2,2021,1/1/2022,
38,SYNTHETIC COMPANY 00037,SYNTHETIC SITE 00037,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,57,99360,2,0,0,0,0,0,0,0,0,0,0,0,0,100037,1,2,2021,1/1/2022,
39,SYNTHETIC COMPANY 00038,SYNTHETIC SITE 00038,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,15,26181,1,0,0,0,1,0,0,1,0,0,0,0,0,100038,1,2,2021,1/1/2022,
40,SYNTHETIC COMPANY 00039,SYNTHETIC SITE 00039,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,72,130970,2,0,0,0,0,0,0,0,0,0,0,0,0,100039,1,2,2021,1/1/2022,
41,SYNTHETIC COMPANY 00040,SYNTHETIC SITE 00040,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,3,5113,2,0,0,0,0,0,0,0,0,0,0,0,0,100040,1,2,2021,1/1/2022,
42,SYNTHETIC COMPANY 00041,SYNTHETIC SITE 00041,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,39,69263,1,0,1,0,0,7,0,1,0,0,0,0,0,100041,1,2,2021,1/1/2022,
43,SYNTHETIC COMPANY 00042,SYNTHETIC SITE 00042,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,8,18464,2,0,0,0,0,0,0,0,0,0,0,0,0,100042,1,2,2021,1/1/2022,
44,SYNTHETIC COMPANY 00043,SYNTHETIC SITE 00043,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,16,33800,1,0,0,0,1,0,0,1,0,0,0,0,0,100043,1,2,2021,1/1/2022,
45,SYNTHETIC COMPANY 00044,SYNTHETIC SITE 00044,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,11,22291,2,0,0,0,0,0,0,0,0,0,0,0,0,100044,1,2,2021,1/1/2022,
46,SYNTHETIC COMPANY 00045,SYNTHETIC SITE 00045,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,69,141597,1,0,0,0,1,0,0,1,0,0,0,0,0,100045,1,2,2021,1/1/2022,
47,SYNTHETIC COMPANY 00046,SYNTHETIC SITE 00046,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,76,168257,2,0,0,0,0,0,0,0,0,0,0,0,0,100046,1,2,2021,1/1/2022,
48,SYNTHETIC COMPANY 00047,SYNTHETIC SITE 00047,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,21,39647,2,0,0,0,0,0,0,0,0,0,0,0,0,100047,1,2,2021,1/1/2022,
49,SYNTHETIC COMPANY 00048,SYNTHETIC SITE 00048,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,72,172889,2,0,0,0,0,0,0,0,0,0,0,0,0,100048,1,2,2021,1/1/2022,
50,SYNTHETIC COMPANY 00049,SYNTHETIC SITE 00049,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,233,482736,1,0,5,1,3,35,4,9,0,0,0,0,0,100049,1,2,2021,1/1/2022,
51,SYNTHETIC COMPANY 00050,SYNTHETIC SITE 00050,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,54,91511,2,0,0,0,0,0,0,0,0,0,0,0,0,100050,1,2,2021,1/1/2022,
52,SYNTHETIC COMPANY 00051,SYNTHETIC SITE 00051,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,66,120181,1,0,0,0,2,0,0,2,0,0,0,0,0,100051,1,2,2021,1/1/2022,
53,SYNTHETIC COMPANY 00052,SYNTHETIC SITE 00052,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,49,80262,1,0,0,0,1,0,0,1,0,0,0,0,0,100052,1,2,2021,1/1/2022,
54,SYNTHETIC COMPANY 00053,SYNTHETIC SITE 00053,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,157,296481,2,0,0,0,0,0,0,0,0,0,0,0,0,100053,1,2,2021,1/1/2022,
55,SYNTHETIC COMPANY 00054,SYNTHETIC SITE 00054,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,227,378320,2,0,0,0,0,0,0,0,0,0,0,0,0,100054,1,2,2021,1/1/2022,
56,SYNTHETIC COMPANY 00055,SYNTHETIC SITE 00055,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,17,34899,1,0,0,1,4,0,4,5,0,0,0,0,0,100055,1,2,2021,1/1/2022,
57,SYNTHETIC COMPANY 00056,SYNTHETIC SITE 00056,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,8,12646,2,0,0,0,0,0,0,0,0,0,0,0,0,100056,1,2,2021,1/1/2022,
58,SYNTHETIC COMPANY 00057,SYNTHETIC SITE 00057,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,51,105433,2,0,0,0,0,0,0,0,0,0,0,0,0,100057,1,2,2021,1/1/2022,
59,SYNTHETIC COMPANY 00058,SYNTHETIC SITE 00058,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,118,290014,2,0,0,0,0,0,0,0,0,0,0,0,0,100058,1,2,2021,1/1/2022,
60,SYNTHETIC COMPANY 00059,SYNTHETIC SITE 00059,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,23,48052,1,0,0,1,1,0,4,2,0,0,0,0,0,100059,1,2,2021,1/1/2022,
61,SYNTHETIC COMPANY 00060,SYNTHETIC SITE 00060,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,133,250847,1,0,4,0,6,28,0,10,0,0,0,0,0,100060,1,2,2021,1/1/2022,
62,SYNTHETIC COMPANY 00061,SYNTHETIC SITE 00061,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,49,97712,2,0,0,0,0,0,0,0,0,0,0,0,0,100061,1,2,2021,1/1/2022,
63,SYNTHETIC COMPANY 00062,SYNTHETIC SITE 00062,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,52,81258,1,0,0,0,1,0,0,1,0,0,0,0,0,100062,1,2,2021,1/1/2022,
64,SYNTHETIC COMPANY 00063,SYNTHETIC SITE 00063,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,107,212712,1,0,2,1,0,14,4,3,0,0,0,0,0,100063,1,2,2021,1/1/2022,
65,SYNTHETIC COMPANY 00064,SYNTHETIC SITE 00064,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,132,237384,2,0,0,0,0,0,0,0,0,0,0,0,0,100064,1,2,2021,1/1/2022,
66,SYNTHETIC COMPANY 00065,SYNTHETIC SITE 00065,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,16,31894,2,0,0,0,0,0,0,0,0,0,0,0,0,100065,1,2,2021,1/1/2022,
67,SYNTHETIC COMPANY 00066,SYNTHETIC SITE 00066,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,48,93407,2,0,0,0,0,0,0,0,0,0,0,0,0,100066,1,2,2021,1/1/2022,
68,SYNTHETIC COMPANY 00067,SYNTHETIC SITE 00067,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,3,6144,2,0,0,0,0,0,0,0,0,0,0,0,0,100067,1,2,2021,1/1/2022,
69,SYNTHETIC COMPANY 00068,SYNTHETIC SITE 00068,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,23,42444,1,0,0,0,1,0,0,1,0,0,0,0,0,100068,1,2,2021,1/1/2022,
70,SYNTHETIC COMPANY 00069,SYNTHETIC SITE 00069,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,12,17222,2,0,0,0,0,0,0,0,0,0,0,0,0,100069,1,2,2021,1/1/2022,
71,SYNTHETIC COMPANY 00070,SYNTHETIC SITE 00070,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,11,16381,2,0,0,0,0,0,0,0,0,0,0,0,0,100070,1,2,2021,1/1/2022,
72,SYNTHETIC COMPANY 00071,SYNTHETIC SITE 00071,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,170,328964,2,0,0,0,0,0,0,0,0,0,0,0,0,100071,1,2,2021,1/1/2022,
73,SYNTHETIC COMPANY 00072,SYNTHETIC SITE 00072,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,114,162860,1,0,1,1,1,7,4,3,0,0,0,0,0,100072,1,2,2021,1/1/2022,
74,SYNTHETIC COMPANY 00073,SYNTHETIC SITE 00073,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,109,195267,1,0,1,0,2,7,0,3,0,0,0,0,0,100073,1,2,2021,1/1/2022,
75,SYNTHETIC COMPANY 00074,SYNTHETIC SITE 00074,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,156,323901,1,0,2,5,4,14,20,11,0,0,0,0,0,100074,1,2,2021,1/1/2022,
76,SYNTHETIC COMPANY 00075,SYNTHETIC SITE 00075,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,28,44469,1,0,0,0,1,0,0,1,0,0,0,0,0,100075,1,2,2021,1/1/2022,
77,SYNTHETIC COMPANY 00076,SYNTHETIC SITE 00076,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,24,35230,2,0,0,0,0,0,0,0,0,0,0,0,0,100076,1,2,2021,1/1/2022,
78,SYNTHETIC COMPANY 00077,SYNTHETIC SITE 00077,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,17,33833,2,0,0,0,0,0,0,0,0,0,0,0,0,100077,1,2,2021,1/1/2022,
79,SYNTHETIC COMPANY 00078,SYNTHETIC SITE 00078,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,21,33550,1,0,1,0,0,7,0,1,0,0,0,0,0,100078,1,2,2021,1/1/2022,
80,SYNTHETIC COMPANY 00079,SYNTHETIC SITE 00079,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,64,111916,2,0,0,0,0,0,0,0,0,0,0,0,0,100079,1,2,2021,1/1/2022,
81,SYNTHETIC COMPANY 00080,SYNTHETIC SITE 00080,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,52,88970,2,0,0,0,0,0,0,0,0,0,0,0,0,100080,1,2,2021,1/1/2022,
82,SYNTHETIC COMPANY 00081,SYNTHETIC SITE 00081,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,13,24820,2,0,0,0,0,0,0,0,0,0,0,0,0,100081,1,2,2021,1/1/2022,
83,SYNTHETIC COMPANY 00082,SYNTHETIC SITE 00082,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,126,220538,1,0,3,3,1,21,12,7,0,0,0,0,0,100082,1,2,2021,1/1/2022,
84,SYNTHETIC COMPANY 00083,SYNTHETIC SITE 00083,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,81,155038,2,0,0,0,0,0,0,0,0,0,0,0,0,100083,1,2,2021,1/1/2022,
85,SYNTHETIC COMPANY 00084,SYNTHETIC SITE 00084,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,158,185035,1,0,1,3,1,7,12,5,0,0,0,0,0,100084,1,2,2021,1/1/2022,
86,SYNTHETIC COMPANY 00085,SYNTHETIC SITE 00085,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,403,639653,1,0,1,0,2,7,0,3,0,0,0,0,0,100085,1,2,2021,1/1/2022,
87,SYNTHETIC COMPANY 00086,SYNTHETIC SITE 00086,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,16,29071,1,0,0,0,1,0,0,1,0,0,0,0,0,100086,1,2,2021,1/1/2022,
88,SYNTHETIC COMPANY 00087,SYNTHETIC SITE 00087,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,131,252987,1,0,1,0,0,7,0,1,0,0,0,0,0,100087,1,2,2021,1/1/2022,
89,SYNTHETIC COMPANY 00088,SYNTHETIC SITE 00088,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,42,90569,2,0,0,0,0,0,0,0,0,0,0,0,0,100088,1,2,2021,1/1/2022,
90,SYNTHETIC COMPANY 00089,SYNTHETIC SITE 00089,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,141,299842,1,0,2,0,0,14,0,2,0,0,0,0,0,100089,1,2,2021,1/1/2022,
91,SYNTHETIC COMPANY 00090,SYNTHETIC SITE 00090,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,61,132346,1,0,4,1,4,28,4,9,0,0,0,0,0,100090,1,2,2021,1/1/2022,
92,SYNTHETIC COMPANY 00091,SYNTHETIC SITE 00091,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,599,940394,2,0,0,0,0,0,0,0,0,0,0,0,0,100091,1,2,2021,1/1/2022,
93,SYNTHETIC COMPANY 00092,SYNTHETIC SITE 00092,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,43,61904,1,0,0,1,0,0,4,1,0,0,0,0,0,100092,1,2,2021,1/1/2022,
94,SYNTHETIC COMPANY 00093,SYNTHETIC SITE 00093,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,495,1124156,1,0,13,20,37,91,80,70,0,0,0,0,0,100093,1,2,2021,1/1/2022,
95,SYNTHETIC COMPANY 00094,SYNTHETIC SITE 00094,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,51,104067,1,0,1,1,4,7,4,6,0,0,0,0,0,100094,1,2,2021,1/1/2022,
96,SYNTHETIC COMPANY 00095,SYNTHETIC SITE 00095,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,123,135388,2,0,0,0,0,0,0,0,0,0,0,0,0,100095,1,2,2021,1/1/2022,
97,SYNTHETIC COMPANY 00096,SYNTHETIC SITE 00096,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,57,1132520,2,0,0,0,0,0,0,0,0,0,0,0,0,100096,1,2,2021,1/1/2022,
98,SYNTHETIC COMPANY 00097,SYNTHETIC SITE 00097,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,21,2723700,2,0,0,0,0,0,0,0,0,0,0,0,0,100097,1,2,2021,1/1/2022,
99,SYNTHETIC COMPANY 00098,SYNTHETIC SITE 00098,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,97,161117,1,0,0,2,2,0,8,4,0,0,0,0,0,100098,1,2,2021,1/1/2022,
100,SYNTHETIC COMPANY 00099,SYNTHETIC SITE 00099,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,59,90834,2,0,0,0,0,0,0,0,0,0,0,0,0,100099,1,2,2021,1/1/2022,
101,SYNTHETIC COMPANY 00100,SYNTHETIC SITE 00100,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,8,12824,2,0,0,0,0,0,0,0,0,0,0,0,0,100100,1,2,2021,1/1/2022,
102,SYNTHETIC COMPANY 00101,SYNTHETIC SITE 00101,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,26,44776,1,0,0,1,0,0,4,1,0,0,0,0,0,100101,1,2,2021,1/1/2022,
103,SYNTHETIC COMPANY 00102,SYNTHETIC SITE 00102,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,48,92953,1,0,0,0,1,0,0,1,0,0,0,0,0,100102,1,2,2021,1/1/2022,
104,SYNTHETIC COMPANY 00103,SYNTHETIC SITE 00103,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,17,30251,2,0,0,0,0,0,0,0,0,0,0,0,0,100103,1,2,2021,1/1/2022,
105,SYNTHETIC COMPANY 00104,SYNTHETIC SITE 00104,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,28,60618,1,0,1,0,0,7,0,1,0,0,0,0,0,100104,1,2,2021,1/1/2022,
106,SYNTHETIC COMPANY 00105,SYNTHETIC SITE 00105,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,47,104492,1,0,2,0,0,14,0,2,0,0,0,0,0,100105,1,2,2021,1/1/2022,
107,SYNTHETIC COMPANY 00106,SYNTHETIC SITE 00106,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,174,289965,2,0,0,0,0,0,0,0,0,0,0,0,0,100106,1,2,2021,1/1/2022,
108,SYNTHETIC COMPANY 00107,SYNTHETIC SITE 00107,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,153,274877,1,0,1,1,0,7,4,2,0,0,0,0,0,100107,1,2,2021,1/1/2022,
109,SYNTHETIC COMPANY 00108,SYNTHETIC SITE 00108,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,25,42708,1,0,3,0,1,21,0,4,0,0,0,0,0,100108,1,2,2021,1/1/2022,
