id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,change_reason,created_timestamp,year_filing_for
9027,SYNTHETIC SITE 00026,100026,,SYNTHETIC COMPANY 00026,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,30,56690,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9028,SYNTHETIC SITE 00027,100027,,SYNTHETIC COMPANY 00027,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,6,10868,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9029,SYNTHETIC SITE 00028,100028,,SYNTHETIC COMPANY 00028,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,16,26802,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9030,SYNTHETIC SITE 00029,100029,,SYNTHETIC COMPANY 00029,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,9,21599,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9031,SYNTHETIC SITE 00030,100030,,SYNTHETIC COMPANY 00030,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,304,450320,1,0,1,1,2,7,4,4,0,0,0,0,0,,1/1/2025,2024
9032,SYNTHETIC SITE 00031,100031,,SYNTHETIC COMPANY 00031,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,90,133276,1,0,0,2,1,0,8,3,0,0,0,0,0,,1/1/2025,2024
9033,SYNTHETIC SITE 00032,100032,,SYNTHETIC COMPANY 00032,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,91,166337,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9034,SYNTHETIC SITE 00033,100033,,SYNTHETIC COMPANY 00033,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,456,914639,1,0,5,3,5,35,12,13,0,0,0,0,0,,1/1/2025,2024
9035,SYNTHETIC SITE 00034,100034,,SYNTHETIC COMPANY 00034,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,15,21558,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9036,SYNTHETIC SITE 00035,100035,,SYNTHETIC COMPANY 00035,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,13,26608,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9037,SYNTHETIC SITE 00036,100036,,SYNTHETIC COMPANY 00036,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,529,868633,1,0,1,2,2,7,8,5,0,0,0,0,0,,1/1/2025,2024
9038,SYNTHETIC SITE 00037,100037,,SYNTHETIC COMPANY 00037,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,20,42848,1,0,0,1,0,0,4,1,0,0,0,0,0,,1/1/2025,2024
9039,SYNTHETIC SITE 00038,100038,,SYNTHETIC COMPANY 00038,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,116,237078,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9040,SYNTHETIC SITE 00039,100039,,SYNTHETIC COMPANY 00039,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,660,1375443,1,0,30,19,35,210,76,84,0,0,0,0,0,,1/1/2025,2024
9041,SYNTHETIC SITE 00040,100040,,SYNTHETIC COMPANY 00040,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,26,41392,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9042,SYNTHETIC SITE 00041,100041,,SYNTHETIC COMPANY 00041,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,214,299720,1,0,3,2,2,21,8,7,0,0,0,0,0,,1/1/2025,2024
9043,SYNTHETIC SITE 00042,100042,,SYNTHETIC COMPANY 00042,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,24,45266,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9044,SYNTHETIC SITE 00043,100043,,SYNTHETIC COMPANY 00043,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,49,80552,1,0,1,1,0,7,4,2,0,0,0,0,0,,1/1/2025,2024
9045,SYNTHETIC SITE 00044,100044,,SYNTHETIC COMPANY 00044,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,4,7106,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9046,SYNTHETIC SITE 00045,100045,,SYNTHETIC COMPANY 00045,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,4,8500,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9047,SYNTHETIC SITE 00046,100046,,SYNTHETIC COMPANY 00046,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,37,61320,1,0,1,0,0,7,0,1,0,0,0,0,0,,1/1/2025,2024
9048,SYNTHETIC SITE 00047,100047,,SYNTHETIC COMPANY 00047,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,67,130290,1,0,0,0,2,0,0,2,0,0,0,0,0,,1/1/2025,2024
9049,SYNTHETIC SITE 00048,100048,,SYNTHETIC COMPANY 00048,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,188,314973,1,0,3,3,2,21,12,8,0,0,0,0,0,,1/1/2025,2024
9050,SYNTHETIC SITE 00049,100049,,SYNTHETIC COMPANY 00049,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,228,405287,1,0,5,3,5,35,12,13,0,0,0,0,0,,1/1/2025,2024
9051,SYNTHETIC SITE 00050,100050,,SYNTHETIC COMPANY 00050,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,124,225734,1,0,0,1,0,0,4,1,0,0,0,0,0,,1/1/2025,2024
9052,SYNTHETIC SITE 00051,100051,,SYNTHETIC COMPANY 00051,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,41,73058,1,0,0,0,2,0,0,2,0,0,0,0,0,,1/1/2025,2024
9053,SYNTHETIC SITE 00052,100052,,SYNTHETIC COMPANY 00052,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,48,86838,1,0,1,2,5,7,8,8,0,0,0,0,0,,1/1/2025,2024
9054,SYNTHETIC SITE 00053,100053,,SYNTHETIC COMPANY 00053,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,135,300765,1,0,3,0,5,21,0,8,0,0,0,0,0,,1/1/2025,2024
9055,SYNTHETIC SITE 00054,100054,,SYNTHETIC COMPANY 00054,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,74,108880,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9056,SYNTHETIC SITE 00055,100055,,SYNTHETIC COMPANY 00055,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,65,113702,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9057,SYNTHETIC SITE 00056,100056,,SYNTHETIC COMPANY 00056,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,17,33765,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9058,SYNTHETIC SITE 00057,100057,,SYNTHETIC COMPANY 00057,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,12,26404,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9059,SYNTHETIC SITE 00058,100058,,SYNTHETIC COMPANY 00058,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,44,81432,1,0,0,1,1,0,4,2,0,0,0,0,0,,1/1/2025,2024
9060,SYNTHETIC SITE 00059,100059,,SYNTHETIC COMPANY 00059,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,54,80055,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9061,SYNTHETIC SITE 00060,100060,,SYNTHETIC COMPANY 00060,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,113,227463,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9062,SYNTHETIC SITE 00061,100061,,SYNTHETIC COMPANY 00061,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,27,53068,1,0,1,0,0,7,0,1,0,0,0,0,0,,1/1/2025,2024
9063,SYNTHETIC SITE 00062,100062,,SYNTHETIC COMPANY 00062,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,92,137234000,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9064,SYNTHETIC SITE 00063,100063,,SYNTHETIC COMPANY 00063,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,23,36683,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9065,SYNTHETIC SITE 00064,100064,,SYNTHETIC COMPANY 00064,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,162,303684,1,0,2,1,3,14,4,6,0,0,0,0,0,,1/1/2025,2024
9066,SYNTHETIC SITE 00065,100065,,SYNTHETIC COMPANY 00065,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,12,20655,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9067,SYNTHETIC SITE 00066,100066,,SYNTHETIC COMPANY 00066,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,31,53113,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9068,SYNTHETIC SITE 00067,100067,,SYNTHETIC COMPANY 00067,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,64,109341,1,0,4,1,3,28,4,8,0,0,0,0,0,,1/1/2025,2024
9069,SYNTHETIC SITE 00068,100068,,SYNTHETIC COMPANY 00068,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,95,185008,1,0,1,0,2,7,0,3,0,0,0,0,0,,1/1/2025,2024
9070,SYNTHETIC SITE 00069,100069,,SYNTHETIC COMPANY 00069,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,49,81306,1,0,2,1,2,14,4,5,0,0,0,0,0,,1/1/2025,2024
9071,SYNTHETIC SITE 00070,100070,,SYNTHETIC COMPANY 00070,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,26,48691,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9072,SYNTHETIC SITE 00071,100071,,SYNTHETIC COMPANY 00071,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,117,23903800000,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9073,SYNTHETIC SITE 00072,100072,,SYNTHETIC COMPANY 00072,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,290,602142,1,0,2,3,6,14,12,11,0,0,0,0,0,,1/1/2025,2024
9074,SYNTHETIC SITE 00073,100073,,SYNTHETIC COMPANY 00073,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,116,220480,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9075,SYNTHETIC SITE 00074,100074,,SYNTHETIC COMPANY 00074,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,35,75793,1,0,0,0,2,0,0,2,0,0,0,0,0,,1/1/2025,2024
9076,SYNTHETIC SITE 00075,100075,,SYNTHETIC COMPANY 00075,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,30,58164,1,0,3,1,1,21,4,5,0,0,0,0,0,,1/1/2025,2024
9077,SYNTHETIC SITE 00076,100076,,SYNTHETIC COMPANY 00076,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,154,239144,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9078,SYNTHETIC SITE 00077,100077,,SYNTHETIC COMPANY 00077,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,86,176075,1,0,1,1,0,7,4,2,0,0,0,0,0,,1/1/2025,2024
9079,SYNTHETIC SITE 00078,100078,,SYNTHETIC COMPANY 00078,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,94,145721,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9080,SYNTHETIC SITE 00079,100079,,SYNTHETIC COMPANY 00079,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,42,80027,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9081,SYNTHETIC SITE 00080,100080,,SYNTHETIC COMPANY 00080,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,70,92079,1,0,0,1,1,0,4,2,0,0,0,0,0,,1/1/2025,2024
9082,SYNTHETIC SITE 00081,100081,,SYNTHETIC COMPANY 00081,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,28,42697,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9083,SYNTHETIC SITE 00082,100082,,SYNTHETIC COMPANY 00082,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,15,19273,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9084,SYNTHETIC SITE 00083,100083,,SYNTHETIC COMPANY 00083,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,61,106540,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9085,SYNTHETIC SITE 00084,100084,,SYNTHETIC COMPANY 00084,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,67,132987,1,0,0,1,0,0,4,1,0,0,0,0,0,,1/1/2025,2024
9086,SYNTHETIC SITE 00085,100085,,SYNTHETIC COMPANY 00085,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,7,12635,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9087,SYNTHETIC SITE 00086,100086,,SYNTHETIC COMPANY 00086,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,51,104204,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9088,SYNTHETIC SITE 00087,100087,,SYNTHETIC COMPANY 00087,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,38,60748,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9089,SYNTHETIC SITE 00088,100088,,SYNTHETIC COMPANY 00088,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,31,56809,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9090,SYNTHETIC SITE 00089,100089,,SYNTHETIC COMPANY 00089,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,220,434956,1,0,1,1,3,7,4,5,0,0,0,0,0,,1/1/2025,2024
9091,SYNTHETIC SITE 00090,100090,,SYNTHETIC COMPANY 00090,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,72,158012,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9092,SYNTHETIC SITE 00091,100091,,SYNTHETIC COMPANY 00091,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,98,166570,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9093,SYNTHETIC SITE 00092,100092,,SYNTHETIC COMPANY 00092,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,130,193083,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9094,SYNTHETIC SITE 00093,100093,,SYNTHETIC COMPANY 00093,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,32,60157,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9095,SYNTHETIC SITE 00094,100094,,SYNTHETIC COMPANY 00094,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,10,12766,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9096,SYNTHETIC SITE 00095,100095,,SYNTHETIC COMPANY 00095,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,27,57027,1,0,1,1,0,7,4,2,0,0,0,0,0,,1/1/2025,2024
9097,SYNTHETIC SITE 00096,100096,,SYNTHETIC COMPANY 00096,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,77,170273,1,0,2,0,3,14,0,5,0,0,0,0,0,,1/1/2025,2024
9098,SYNTHETIC SITE 00097,100097,,SYNTHETIC COMPANY 00097,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,188,365043,1,0,5,3,5,35,12,13,0,0,0,0,0,,1/1/2025,2024
9099,SYNTHETIC SITE 00098,100098,,SYNTHETIC COMPANY 00098,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,91,179140,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9100,SYNTHETIC SITE 00099,100099,,SYNTHETIC COMPANY 00099,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,160,308204,1,0,1,3,2,7,12,6,0,0,0,0,0,,1/1/2025,2024
9101,SYNTHETIC SITE 00100,100100,,SYNTHETIC COMPANY 00100,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,45,80819,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9102,SYNTHETIC SITE 00101,100101,,SYNTHETIC COMPANY 00101,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,39,79551,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9103,SYNTHETIC SITE 00102,100102,,SYNTHETIC COMPANY 00102,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,20,37248,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9104,SYNTHETIC SITE 00103,100103,,SYNTHETIC COMPANY 00103,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,21,32126,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9105,SYNTHETIC SITE 00104,100104,,SYNTHETIC COMPANY 00104,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,79,102492,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9106,SYNTHETIC SITE 00105,100105,,SYNTHETIC COMPANY 00105,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,35,70290,1,0,0,1,1,0,4,2,0,0,0,0,0,,1/1/2025,2024
